Марка;Цена;Метро;Ссылка
Lexus LX, 2017;5 145 000  ₽;Волгоградский проспект;https://www.avito.ru/moskva/avtomobili/lexus_lx_2017_1972636320
Lexus RX, 2011;1 320 000  ₽;Бауманская;https://www.avito.ru/moskva/avtomobili/lexus_rx_2011_1965098204
Lexus NX, 2016;2 550 000  ₽;Проспект Вернадского;https://www.avito.ru/moskva/avtomobili/lexus_nx_2016_1924162857
Lexus ES, 2020;4 582 500  ₽;Медведково;https://www.avito.ru/moskva/avtomobili/lexus_es_2020_2003887275
Lexus GS, 1999;295 000  ₽;Кунцевская;https://www.avito.ru/moskva/avtomobili/lexus_gs_1999_1902059624
Lexus LX, 2008;1 980 000  ₽;Тропарево;https://www.avito.ru/moskva/avtomobili/lexus_lx_2008_1963646020
Lexus LX, 2005;1 400 000  ₽;Площадь революции;https://www.avito.ru/moskva/avtomobili/lexus_lx_2005_1959887920
Lexus LS, 2013;1 990 000  ₽;Динамо;https://www.avito.ru/moskva/avtomobili/lexus_ls_2013_1935542883
Lexus LS, 2009;800 000  ₽;Румянцево;https://www.avito.ru/moskva/avtomobili/lexus_ls_2009_1999532134
Lexus LX, 2018;6 895 000  ₽;Шелепиха;https://www.avito.ru/moskva/avtomobili/lexus_lx_2018_2011372016
Lexus LX, 2016;3 990 000  ₽;Электрозаводская;https://www.avito.ru/moskva/avtomobili/lexus_lx_2016_1987817305
Lexus RX, 2017;2 986 000  ₽;Красные ворота;https://www.avito.ru/moskva/avtomobili/lexus_rx_2017_1937971804
Lexus NX, 2020;4 460 000  ₽;Домодедовская;https://www.avito.ru/moskva/avtomobili/lexus_nx_2020_1971759801
Lexus RX, 2000;430 000  ₽;Сокольники;https://www.avito.ru/moskva/avtomobili/lexus_rx_2000_1998928107
Lexus IS, 2013;1 249 999  ₽;Озёрная;https://www.avito.ru/moskva/avtomobili/lexus_is_2013_1876218858
Lexus LX, 2020;7 567 000  ₽;Угрешская;https://www.avito.ru/moskva/avtomobili/lexus_lx_2020_1965093607
Lexus RX, 2011;1 399 999  ₽;Алексеевская;https://www.avito.ru/moskva/avtomobili/lexus_rx_2011_1999731686
Lexus GX, 2003;1 050 000  ₽;Сходненская;https://www.avito.ru/moskva/avtomobili/lexus_gx_2003_1983936829
Lexus IS, 2007;650 000  ₽;Площадь революции;https://www.avito.ru/moskva/avtomobili/lexus_is_2007_1350004720
Lexus NX, 2016;2 275 000  ₽;Домодедовская;https://www.avito.ru/moskva/avtomobili/lexus_nx_2016_2002961495
Lexus ES, 2016;2 250 000  ₽;Юго-Западная;https://www.avito.ru/moskva/avtomobili/lexus_es_2016_1290258437
Lexus LX, 2017;4 890 000  ₽;Киевская;https://www.avito.ru/moskva/avtomobili/lexus_lx_2017_1982445459
Lexus LX, 2011;2 350 000  ₽;Марксистская;https://www.avito.ru/moskva/avtomobili/lexus_lx_2011_2004254396
Lexus RX, 2005;745 000  ₽;Перово;https://www.avito.ru/moskva/avtomobili/lexus_rx_2005_1987860375
